C1:1
C101:1
C102:1
C103:1
C104:1
C105:1
C106:1
C107:1
C108:1
C109:1
C110:1
C111:1
C112:1
C113:1
C114:1
C115:1
C116:1
C117:1
C118:1
C119:1
C120:1
C121:1
C122:1
C123:1
C124:1
C125:1
C126:1
C127:1
C128:1
C130:1
C131:1
C132:1
C133:1
C134:1
C135:1
C137:1
C138:1
C139:1
C140:1
C141:1
C142:1
C143:1
C144:1
C145:1
C146:1
C147:1
C148:1
C149:1
C150:1
C151:1
C2:1
C3:1
D101:1
D102:1
D103:1
D104:1
D105:1
D106:1
D107:1
D108:1
G***:1
GNDS1:1
H101:1
H102:1
H103:1
H104:1
I2C1:1
IC101:1
IC102:1
IC103:1
IC104:1
J101:1
J102:1
JP101:1
LED101:1
LED102:1
M0:1
M1:1
M2+LEDS1:1
NTC1:1
NTC2:1
ODLED1:1
PH1:1
POWER+COM1:1
Q1:1
Q2:1
Q3:1
Q4:1
Q5:1
R1:1
R101:1
R102:1
R103:1
R104:1
R105:1
R106:1
R107:1
R108:1
R109:1
R110:1
R111:1
R112:1
R113:1
R114:1
R115:1
R116:1
R117:1
R118:1
R119:1
R120:1
R121:1
R122:1
R123:1
R124:1
R125:1
R126:1
R127:1
R128:1
R129:1
R130:1
R131:1
R132:1
R133:1
R135:1
R137:1
R138:1
R139:1
R140:1
R141:1
R142:1
R143:1
R144:1
R146:1
R148:1
R149:1
R150:1
R151:1
R2:1
R3:1
R4:1
R5:1
RA101:1
RB101:1
RC101:1
RDIF101:1
SW101:1
SW102:1
TIA1:1
TIA2:1
U1:1
U101:1
U104:1
U105:1
U106:1
U107:1
U108:1
U109:1
UC101:1
Y101:1
Y102:1
